uri,cluster
<http://example.org/inst/Paper_312>,2
<http://example.org/inst/Paper_313>,2
<http://example.org/inst/Paper_314>,0
<http://example.org/inst/Paper_315>,2
<http://example.org/inst/Paper_316>,2
<http://example.org/inst/Paper_317>,2
<http://example.org/inst/Paper_318>,0
<http://example.org/inst/Paper_319>,2
<http://example.org/inst/Paper_31>,1
<http://example.org/inst/Paper_320>,1
<http://example.org/inst/Paper_321>,2
<http://example.org/inst/Paper_322>,2
<http://example.org/inst/Paper_323>,1
<http://example.org/inst/Paper_324>,1
<http://example.org/inst/Paper_325>,2
<http://example.org/inst/Paper_326>,0
<http://example.org/inst/Paper_327>,2
<http://example.org/inst/Paper_328>,2
<http://example.org/inst/Paper_329>,1
<http://example.org/inst/Paper_32>,1
<http://example.org/inst/Paper_330>,0
<http://example.org/inst/Paper_331>,2
<http://example.org/inst/Paper_332>,0
<http://example.org/inst/Paper_333>,1
<http://example.org/inst/Paper_334>,2
<http://example.org/inst/Paper_335>,2
<http://example.org/inst/Paper_336>,1
<http://example.org/inst/Paper_337>,1
<http://example.org/inst/Paper_338>,0
<http://example.org/inst/Paper_339>,1
<http://example.org/inst/Paper_33>,1
<http://example.org/inst/Paper_340>,2
<http://example.org/inst/Paper_341>,2
<http://example.org/inst/Paper_342>,2
<http://example.org/inst/Paper_343>,1
<http://example.org/inst/Paper_344>,1
<http://example.org/inst/Paper_345>,1
<http://example.org/inst/Paper_346>,2
<http://example.org/inst/Paper_347>,1
<http://example.org/inst/Paper_348>,1
<http://example.org/inst/Paper_349>,1
<http://example.org/inst/Paper_34>,1
<http://example.org/inst/Paper_350>,2
<http://example.org/inst/Paper_351>,2
<http://example.org/inst/Paper_352>,0
<http://example.org/inst/Paper_353>,2
<http://example.org/inst/Paper_354>,1
<http://example.org/inst/Paper_355>,2
<http://example.org/inst/Paper_356>,2
<http://example.org/inst/Paper_357>,1
<http://example.org/inst/Paper_358>,2
<http://example.org/inst/Paper_359>,2
<http://example.org/inst/Paper_35>,2
<http://example.org/inst/Paper_360>,1
<http://example.org/inst/Paper_361>,1
<http://example.org/inst/Paper_362>,1
<http://example.org/inst/Paper_363>,0
<http://example.org/inst/Paper_364>,2
<http://example.org/inst/Paper_365>,1
<http://example.org/inst/Paper_366>,2
<http://example.org/inst/Paper_367>,1
<http://example.org/inst/Paper_368>,1
<http://example.org/inst/Paper_369>,1
<http://example.org/inst/Paper_36>,2
<http://example.org/inst/Paper_370>,2
<http://example.org/inst/Paper_371>,1
<http://example.org/inst/Paper_372>,1
<http://example.org/inst/Paper_373>,2
<http://example.org/inst/Paper_374>,1
<http://example.org/inst/Paper_375>,0
<http://example.org/inst/Paper_376>,2
<http://example.org/inst/Paper_377>,1
<http://example.org/inst/Paper_378>,1
<http://example.org/inst/Paper_379>,2
<http://example.org/inst/Paper_37>,2
<http://example.org/inst/Paper_380>,1
<http://example.org/inst/Paper_381>,0
<http://example.org/inst/Paper_382>,2
<http://example.org/inst/Paper_383>,2
<http://example.org/inst/Paper_384>,2
<http://example.org/inst/Paper_385>,2
<http://example.org/inst/Paper_386>,2
<http://example.org/inst/Paper_387>,2
<http://example.org/inst/Paper_388>,2
<http://example.org/inst/Paper_389>,2
<http://example.org/inst/Paper_38>,1
<http://example.org/inst/Paper_390>,2
<http://example.org/inst/Paper_391>,1
<http://example.org/inst/Paper_392>,2
<http://example.org/inst/Paper_393>,1
<http://example.org/inst/Paper_394>,2
<http://example.org/inst/Paper_395>,2
<http://example.org/inst/Paper_396>,1
<http://example.org/inst/Paper_397>,1
<http://example.org/inst/Paper_398>,1
<http://example.org/inst/Paper_399>,1
<http://example.org/inst/Paper_39>,1
<http://example.org/inst/Paper_3>,0
<http://example.org/inst/Paper_400>,1
<http://example.org/inst/Paper_401>,0
<http://example.org/inst/Paper_402>,1
<http://example.org/inst/Paper_403>,2
<http://example.org/inst/Paper_404>,1
<http://example.org/inst/Paper_405>,2
<http://example.org/inst/Paper_406>,2
<http://example.org/inst/Paper_407>,2
<http://example.org/inst/Paper_408>,2
<http://example.org/inst/Paper_409>,2
<http://example.org/inst/Paper_40>,1
<http://example.org/inst/Paper_410>,1
<http://example.org/inst/Paper_411>,1
<http://example.org/inst/Paper_412>,1
<http://example.org/inst/Paper_413>,2
<http://example.org/inst/Paper_414>,1
<http://example.org/inst/Paper_415>,2
<http://example.org/inst/Paper_416>,1
<http://example.org/inst/Paper_417>,1
<http://example.org/inst/Paper_418>,0
<http://example.org/inst/Paper_419>,2
<http://example.org/inst/Paper_41>,0
<http://example.org/inst/Paper_420>,1
<http://example.org/inst/Paper_421>,1
<http://example.org/inst/Paper_422>,1
<http://example.org/inst/Paper_423>,2
<http://example.org/inst/Paper_424>,2
<http://example.org/inst/Paper_425>,2
<http://example.org/inst/Paper_426>,1
<http://example.org/inst/Paper_427>,1
<http://example.org/inst/Paper_428>,1
<http://example.org/inst/Paper_429>,2
<http://example.org/inst/Paper_42>,2
<http://example.org/inst/Paper_430>,0
<http://example.org/inst/Paper_431>,2
<http://example.org/inst/Paper_432>,2
<http://example.org/inst/Paper_433>,2
<http://example.org/inst/Paper_434>,1
<http://example.org/inst/Paper_435>,1
<http://example.org/inst/Paper_436>,0
<http://example.org/inst/Paper_437>,2
<http://example.org/inst/Paper_438>,2
<http://example.org/inst/Paper_439>,1
<http://example.org/inst/Paper_43>,2
<http://example.org/inst/Paper_440>,1
<http://example.org/inst/Paper_441>,1
<http://example.org/inst/Paper_442>,2
<http://example.org/inst/Paper_443>,1
<http://example.org/inst/Paper_444>,0
<http://example.org/inst/Paper_445>,1
<http://example.org/inst/Paper_446>,2
<http://example.org/inst/Paper_447>,2
<http://example.org/inst/Paper_448>,1
<http://example.org/inst/Paper_449>,2
<http://example.org/inst/Paper_44>,1
<http://example.org/inst/Paper_450>,1
<http://example.org/inst/Paper_451>,2
<http://example.org/inst/Paper_452>,1
<http://example.org/inst/Paper_453>,1
<http://example.org/inst/Paper_454>,1
<http://example.org/inst/Paper_455>,2
<http://example.org/inst/Paper_456>,0
<http://example.org/inst/Paper_457>,0
<http://example.org/inst/Paper_458>,0
<http://example.org/inst/Paper_459>,0
<http://example.org/inst/Paper_45>,1
<http://example.org/inst/Paper_460>,1
<http://example.org/inst/Paper_461>,1
<http://example.org/inst/Paper_462>,1
<http://example.org/inst/Paper_463>,2
<http://example.org/inst/Paper_464>,2
<http://example.org/inst/Paper_465>,1
<http://example.org/inst/Paper_466>,2
<http://example.org/inst/Paper_467>,2
<http://example.org/inst/Paper_468>,1
<http://example.org/inst/Paper_469>,1
<http://example.org/inst/Paper_46>,2
<http://example.org/inst/Paper_470>,1
<http://example.org/inst/Paper_471>,2
<http://example.org/inst/Paper_472>,0
<http://example.org/inst/Paper_473>,1
<http://example.org/inst/Paper_474>,1
<http://example.org/inst/Paper_475>,2
<http://example.org/inst/Paper_476>,1
<http://example.org/inst/Paper_477>,0
<http://example.org/inst/Paper_478>,2
<http://example.org/inst/Paper_479>,2
<http://example.org/inst/Paper_47>,1
<http://example.org/inst/Paper_480>,0
<http://example.org/inst/Paper_481>,1
<http://example.org/inst/Paper_482>,0
<http://example.org/inst/Paper_483>,1
<http://example.org/inst/Paper_484>,1
<http://example.org/inst/Paper_485>,2
<http://example.org/inst/Paper_486>,0
<http://example.org/inst/Paper_487>,1
<http://example.org/inst/Paper_488>,1
<http://example.org/inst/Paper_489>,1
<http://example.org/inst/Paper_48>,2
<http://example.org/inst/Paper_490>,2
<http://example.org/inst/Paper_491>,2
<http://example.org/inst/Paper_492>,2
<http://example.org/inst/Paper_493>,1
<http://example.org/inst/Paper_494>,1
<http://example.org/inst/Paper_495>,2
<http://example.org/inst/Paper_496>,1
<http://example.org/inst/Paper_497>,2
<http://example.org/inst/Paper_498>,1
<http://example.org/inst/Paper_499>,1
<http://example.org/inst/Paper_49>,2
<http://example.org/inst/Paper_4>,2
<http://example.org/inst/Paper_500>,1
<http://example.org/inst/Paper_501>,0
<http://example.org/inst/Paper_502>,2
<http://example.org/inst/Paper_503>,0
<http://example.org/inst/Paper_504>,2
<http://example.org/inst/Paper_505>,1
<http://example.org/inst/Paper_506>,1
<http://example.org/inst/Paper_507>,0
<http://example.org/inst/Paper_508>,0
<http://example.org/inst/Paper_509>,0
<http://example.org/inst/Paper_50>,2
<http://example.org/inst/Paper_510>,0
<http://example.org/inst/Paper_511>,1
<http://example.org/inst/Paper_512>,1
<http://example.org/inst/Paper_513>,2
<http://example.org/inst/Paper_514>,1
<http://example.org/inst/Paper_515>,0
<http://example.org/inst/Paper_516>,1
<http://example.org/inst/Paper_517>,2
<http://example.org/inst/Paper_518>,0
<http://example.org/inst/Paper_519>,1
<http://example.org/inst/Paper_51>,1
<http://example.org/inst/Paper_520>,1
<http://example.org/inst/Paper_521>,0
<http://example.org/inst/Paper_522>,1
<http://example.org/inst/Paper_523>,0
<http://example.org/inst/Paper_524>,1
<http://example.org/inst/Paper_525>,0
<http://example.org/inst/Paper_526>,1
<http://example.org/inst/Paper_527>,0
<http://example.org/inst/Paper_528>,0
<http://example.org/inst/Paper_529>,0
<http://example.org/inst/Paper_52>,1
<http://example.org/inst/Paper_530>,0
<http://example.org/inst/Paper_531>,1
<http://example.org/inst/Paper_532>,2
<http://example.org/inst/Paper_533>,2
<http://example.org/inst/Paper_534>,2
<http://example.org/inst/Paper_535>,2
<http://example.org/inst/Paper_536>,2
<http://example.org/inst/Paper_537>,0
<http://example.org/inst/Paper_538>,1
<http://example.org/inst/Paper_539>,0
<http://example.org/inst/Paper_53>,2
<http://example.org/inst/Paper_540>,0
<http://example.org/inst/Paper_541>,2
<http://example.org/inst/Paper_542>,0
<http://example.org/inst/Paper_543>,0
<http://example.org/inst/Paper_544>,0
<http://example.org/inst/Paper_545>,1
<http://example.org/inst/Paper_546>,0
<http://example.org/inst/Paper_547>,2
<http://example.org/inst/Paper_548>,2
<http://example.org/inst/Paper_549>,2
<http://example.org/inst/Paper_54>,0
<http://example.org/inst/Paper_550>,2
<http://example.org/inst/Paper_551>,0
<http://example.org/inst/Paper_552>,2
<http://example.org/inst/Paper_553>,1
<http://example.org/inst/Paper_554>,0
<http://example.org/inst/Paper_555>,1
<http://example.org/inst/Paper_556>,2
<http://example.org/inst/Paper_557>,0
<http://example.org/inst/Paper_558>,2
<http://example.org/inst/Paper_559>,0
<http://example.org/inst/Paper_55>,0
<http://example.org/inst/Paper_560>,1
<http://example.org/inst/Paper_561>,0
<http://example.org/inst/Paper_562>,0
<http://example.org/inst/Paper_563>,0
<http://example.org/inst/Paper_564>,0
<http://example.org/inst/Paper_565>,2
<http://example.org/inst/Paper_566>,0
<http://example.org/inst/Paper_567>,0
<http://example.org/inst/Paper_568>,1
<http://example.org/inst/Paper_569>,2
<http://example.org/inst/Paper_56>,1
<http://example.org/inst/Paper_570>,0
<http://example.org/inst/Paper_571>,1
<http://example.org/inst/Paper_572>,2
<http://example.org/inst/Paper_573>,1
<http://example.org/inst/Paper_574>,0
<http://example.org/inst/Paper_575>,0
<http://example.org/inst/Paper_576>,0
<http://example.org/inst/Paper_577>,2
<http://example.org/inst/Paper_578>,2
<http://example.org/inst/Paper_579>,2
<http://example.org/inst/Paper_57>,1
<http://example.org/inst/Paper_580>,1
<http://example.org/inst/Paper_581>,2
<http://example.org/inst/Paper_582>,2
<http://example.org/inst/Paper_583>,2
<http://example.org/inst/Paper_584>,2
<http://example.org/inst/Paper_585>,1
<http://example.org/inst/Paper_586>,1
<http://example.org/inst/Paper_587>,0
<http://example.org/inst/Paper_588>,0
<http://example.org/inst/Paper_589>,1
<http://example.org/inst/Paper_58>,1
<http://example.org/inst/Paper_590>,1
<http://example.org/inst/Paper_591>,1
<http://example.org/inst/Paper_592>,1
<http://example.org/inst/Paper_593>,2
<http://example.org/inst/Paper_594>,1
<http://example.org/inst/Paper_595>,2
<http://example.org/inst/Paper_596>,1
<http://example.org/inst/Paper_597>,1
<http://example.org/inst/Paper_598>,0
<http://example.org/inst/Paper_599>,1
<http://example.org/inst/Paper_59>,2
<http://example.org/inst/Paper_5>,2
<http://example.org/inst/Paper_600>,1
<http://example.org/inst/Paper_601>,0
<http://example.org/inst/Paper_602>,0
<http://example.org/inst/Paper_603>,1
<http://example.org/inst/Paper_604>,1
<http://example.org/inst/Paper_605>,0
<http://example.org/inst/Paper_606>,2
<http://example.org/inst/Paper_607>,2
<http://example.org/inst/Paper_608>,0
<http://example.org/inst/Paper_609>,1
<http://example.org/inst/Paper_60>,2
<http://example.org/inst/Paper_610>,1
<http://example.org/inst/Paper_611>,1
<http://example.org/inst/Paper_612>,2
<http://example.org/inst/Paper_613>,0
<http://example.org/inst/Paper_614>,2
<http://example.org/inst/Paper_615>,0
<http://example.org/inst/Paper_616>,1
<http://example.org/inst/Paper_617>,0
<http://example.org/inst/Paper_618>,0
<http://example.org/inst/Paper_619>,2
<http://example.org/inst/Paper_61>,2
<http://example.org/inst/Paper_620>,0
<http://example.org/inst/Paper_621>,1
<http://example.org/inst/Paper_622>,0
<http://example.org/inst/Paper_623>,1
<http://example.org/inst/Paper_624>,1
<http://example.org/inst/Paper_625>,2
<http://example.org/inst/Paper_626>,1
<http://example.org/inst/Paper_627>,0
<http://example.org/inst/Paper_628>,2
<http://example.org/inst/Paper_629>,1
<http://example.org/inst/Paper_62>,1
<http://example.org/inst/Paper_630>,1
<http://example.org/inst/Paper_631>,2
<http://example.org/inst/Paper_632>,1
<http://example.org/inst/Paper_633>,1
<http://example.org/inst/Paper_634>,0
<http://example.org/inst/Paper_635>,0
<http://example.org/inst/Paper_636>,0
<http://example.org/inst/Paper_637>,2
<http://example.org/inst/Paper_638>,1
<http://example.org/inst/Paper_639>,1
<http://example.org/inst/Paper_63>,1
<http://example.org/inst/Paper_640>,1
<http://example.org/inst/Paper_641>,1
<http://example.org/inst/Paper_642>,2
<http://example.org/inst/Paper_643>,1
<http://example.org/inst/Paper_644>,2
<http://example.org/inst/Paper_645>,2
<http://example.org/inst/Paper_646>,2
<http://example.org/inst/Paper_647>,2
<http://example.org/inst/Paper_648>,2
<http://example.org/inst/Paper_649>,0
<http://example.org/inst/Paper_64>,1
<http://example.org/inst/Paper_650>,2
<http://example.org/inst/Paper_651>,2
<http://example.org/inst/Paper_652>,0
<http://example.org/inst/Paper_653>,1
<http://example.org/inst/Paper_654>,0
<http://example.org/inst/Paper_655>,2
<http://example.org/inst/Paper_656>,1
<http://example.org/inst/Paper_657>,0
<http://example.org/inst/Paper_658>,2
<http://example.org/inst/Paper_659>,0
<http://example.org/inst/Paper_65>,1
<http://example.org/inst/Paper_660>,0
<http://example.org/inst/Paper_661>,0
<http://example.org/inst/Paper_662>,0
<http://example.org/inst/Paper_663>,2
<http://example.org/inst/Paper_664>,2
<http://example.org/inst/Paper_665>,1
<http://example.org/inst/Paper_666>,0
<http://example.org/inst/Paper_667>,0
<http://example.org/inst/Paper_668>,2
<http://example.org/inst/Paper_669>,0
<http://example.org/inst/Paper_66>,1
<http://example.org/inst/Paper_670>,2
<http://example.org/inst/Paper_671>,0
<http://example.org/inst/Paper_672>,1
<http://example.org/inst/Paper_673>,2
<http://example.org/inst/Paper_674>,1
<http://example.org/inst/Paper_675>,1
<http://example.org/inst/Paper_676>,1
<http://example.org/inst/Paper_677>,2
<http://example.org/inst/Paper_678>,2
<http://example.org/inst/Paper_679>,0
<http://example.org/inst/Paper_67>,1
<http://example.org/inst/Paper_680>,2
<http://example.org/inst/Paper_681>,0
<http://example.org/inst/Paper_682>,1
<http://example.org/inst/Paper_683>,0
<http://example.org/inst/Paper_684>,1
<http://example.org/inst/Paper_685>,2
<http://example.org/inst/Paper_686>,0
<http://example.org/inst/Paper_687>,0
<http://example.org/inst/Paper_688>,1
<http://example.org/inst/Paper_689>,0
<http://example.org/inst/Paper_68>,2
<http://example.org/inst/Paper_690>,1
<http://example.org/inst/Paper_691>,1
<http://example.org/inst/Paper_692>,0
<http://example.org/inst/Paper_693>,0
<http://example.org/inst/Paper_694>,2
<http://example.org/inst/Paper_695>,2
<http://example.org/inst/Paper_696>,1
<http://example.org/inst/Paper_697>,0
<http://example.org/inst/Paper_698>,2
<http://example.org/inst/Paper_699>,2
<http://example.org/inst/Paper_69>,2
<http://example.org/inst/Paper_6>,2
<http://example.org/inst/Paper_700>,0
<http://example.org/inst/Paper_701>,1
<http://example.org/inst/Paper_702>,1
<http://example.org/inst/Paper_703>,1
<http://example.org/inst/Paper_704>,1
<http://example.org/inst/Paper_705>,0
<http://example.org/inst/Paper_706>,0
<http://example.org/inst/Paper_707>,0
<http://example.org/inst/Paper_708>,1
<http://example.org/inst/Paper_709>,0
<http://example.org/inst/Paper_70>,2
<http://example.org/inst/Paper_710>,1
<http://example.org/inst/Paper_711>,0
<http://example.org/inst/Paper_712>,0
<http://example.org/inst/Paper_713>,0
<http://example.org/inst/Paper_714>,2
<http://example.org/inst/Paper_715>,1
<http://example.org/inst/Paper_716>,0
<http://example.org/inst/Paper_717>,0
<http://example.org/inst/Paper_718>,0
<http://example.org/inst/Paper_719>,1
<http://example.org/inst/Paper_71>,1
<http://example.org/inst/Paper_720>,0
<http://example.org/inst/Paper_721>,2
<http://example.org/inst/Paper_722>,1
<http://example.org/inst/Paper_723>,0
<http://example.org/inst/Paper_724>,2
<http://example.org/inst/Paper_725>,2
<http://example.org/inst/Paper_726>,2
<http://example.org/inst/Paper_727>,2
<http://example.org/inst/Paper_728>,2
<http://example.org/inst/Paper_729>,2
<http://example.org/inst/Paper_72>,1
<http://example.org/inst/Paper_730>,0
<http://example.org/inst/Paper_731>,0
<http://example.org/inst/Paper_732>,0
<http://example.org/inst/Paper_733>,1
<http://example.org/inst/Paper_734>,1
<http://example.org/inst/Paper_735>,1
<http://example.org/inst/Paper_736>,2
<http://example.org/inst/Paper_737>,0
<http://example.org/inst/Paper_738>,2
<http://example.org/inst/Paper_739>,1
<http://example.org/inst/Paper_73>,2
<http://example.org/inst/Paper_740>,1
<http://example.org/inst/Paper_741>,0
<http://example.org/inst/Paper_742>,0
<http://example.org/inst/Paper_743>,2
<http://example.org/inst/Paper_744>,2
<http://example.org/inst/Paper_745>,0
<http://example.org/inst/Paper_746>,0
<http://example.org/inst/Paper_747>,2
<http://example.org/inst/Paper_748>,1
<http://example.org/inst/Paper_749>,0
<http://example.org/inst/Paper_74>,1
<http://example.org/inst/Paper_750>,1
<http://example.org/inst/Paper_751>,1
<http://example.org/inst/Paper_752>,2
<http://example.org/inst/Paper_753>,1
<http://example.org/inst/Paper_754>,2
<http://example.org/inst/Paper_755>,1
<http://example.org/inst/Paper_756>,1
<http://example.org/inst/Paper_757>,1
<http://example.org/inst/Paper_758>,2
<http://example.org/inst/Paper_759>,0
<http://example.org/inst/Paper_75>,1
<http://example.org/inst/Paper_760>,1
<http://example.org/inst/Paper_761>,0
